slug,url,other_url
2022-04-06-ds-docker,https://esciencecenter-digital-skills.github.io/2022-04-06-ds-docker/,
2022-05-11-ds-gpu,https://esciencecenter-digital-skills.github.io/2022-05-11-ds-gpu/,
2022-05-17-ds-parallel,https://esciencecenter-digital-skills.github.io/2022-05-17-ds-parallel/,
2022-05-30-dc-socsci-python-nlesc,https://esciencecenter-digital-skills.github.io/2022-05-30-dc-socsci-python-nlesc/,
2022-06-21-ttt-nehterla,https://esciencecenter-digital-skills.github.io/2022-06-21-ttt-netherlands/,
2022-09-14-ds-rpackaging,https://esciencecenter-digital-skills.github.io/2022-09-14-ds-rpackaging/,
2022-09-26-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2022-09-26-ds-dl-intro/,
2022-10-10-ds-parallel,https://esciencecenter-digital-skills.github.io/2022-10-10-ds-parallel/,
2022-11-02-ds-gpu,https://esciencecenter-digital-skills.github.io/2022-11-02-ds-gpu/,
2022-11-21-dc-geospatial,https://esciencecenter-digital-skills.github.io/2022-11-21-dc-geospatial/,
2022-11-28-wdcc-git,https://esciencecenter-digital-skills.github.io/2022-11-28-wdcc-git/,
2022-12-05-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2022-12-05-ds-dl-intro/,
2022-12-12-ds-cr,https://esciencecenter-digital-skills.github.io/2022-12-12-ds-cr/,
2023-01-25-ds-python-rivm,https://esciencecenter-digital-skills.github.io/2023-01-25-ds-python-rivm/,
2023-01-30-ds-sklearn,https://esciencecenter-digital-skills.github.io/2023-01-30-ds-sklearn/,
2023-03-08-ds-rpackaging,https://esciencecenter-digital-skills.github.io/2023-03-08-ds-rpackaging/,
2023-03-21-ds-intermediate-python,https://esciencecenter-digital-skills.github.io/2023-03-21-ds-intermediate-python/,
2023-03-29-dc-astronomy-python-astron,https://esciencecenter-digital-skills.github.io/2023-03-29-dc-astronomy-python-astron/,
2023-04-03-ds-parallel,https://esciencecenter-digital-skills.github.io/2023-04-03-ds-parallel/,
2023-04-18-ds-gpu,https://esciencecenter-digital-skills.github.io/2023-04-18-ds-gpu/,
2023-05-08-ds-geospatial-python,https://esciencecenter-digital-skills.github.io/2023-05-08-ds-geospatial-python/,
2023-05-23-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2023-05-23-ds-dl-intro/,
2023-04-03-ds-dl-intro-caa,https://esciencecenter-digital-skills.github.io/2023-04-03-ds-dl-intro-caa/,
2023-04-04-ds-fair-smp-advanced-python-UvA,https://esciencecenter-digital-skills.github.io/2023-04-04-ds-fair-smp-advanced-python-UvA/,
2023-05-09-ds-cr-tusail,https://esciencecenter-digital-skills.github.io/2023-05-09-ds-cr-tusail/,
2023-06-05-dc-image-processing,https://esciencecenter-digital-skills.github.io/2023-06-05-dc-image-processing/,
2023-06-19-ds-cr,https://esciencecenter-digital-skills.github.io/2023-06-19-ds-cr/,
2023-06-20-ds-sklearn-odissei,https://esciencecenter-digital-skills.github.io/2023-06-20-ds-sklearn-odissei/,
2023-07-04-ds-parallel,https://esciencecenter-digital-skills.github.io/2023-07-04-ds-parallel/,
2023-08-21-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2023-08-21-ds-dl-intro/,
2023-06-28-WDCC-git,https://esciencecenter-digital-skills.github.io/2023-06-28-WDCC-git/,
2023-09-20-ds-rpackaging,https://esciencecenter-digital-skills.github.io/2023-09-20-ds-rpackaging/,
2023-10-03-ds-cr,https://esciencecenter-digital-skills.github.io/2023-10-03-ds-cr/,
2023-10-10-ds-geospatial-python,https://esciencecenter-digital-skills.github.io/2023-10-10-ds-geospatial-python/,
2023-11-06-ds-gpu,https://esciencecenter-digital-skills.github.io/2023-11-06-ds-gpu/,
2023-11-28-ds-sklearn,https://esciencecenter-digital-skills.github.io/2023-11-28-ds-sklearn/,
2023-12-11-ds-intermediate-python,https://esciencecenter-digital-skills.github.io/2023-12-11-ds-intermediate-python/,
2023-11-14-ds-cr-TUEindhoven,https://esciencecenter-digital-skills.github.io/2023-11-14-ds-cr-TUEindhoven/,
2023-11-28-research-software-support,https://esciencecenter-digital-skills.github.io/2023-11-28-research-software-support/,
2024-02-05-ds-dl-intro,https://esciencecenter-digital-skills.github.io/2024-02-05-ds-dl-intro/,
2024-02-26-ds-cr,https://esciencecenter-digital-skills.github.io/2024-02-26-ds-cr/,
2024-03-11-dc-image-processing,https://esciencecenter-digital-skills.github.io/2024-03-11-dc-image-processing/, 
2024-03-19-ds-parallel,https://esciencecenter-digital-skills.github.io/2024-03-19-ds-parallel/,
2024-04-08-ds-cr,https://esciencecenter-digital-skills.github.io/2024-04-08-ds-cr/,
2024-04-15-ds-intermediate-python,https://esciencecenter-digital-skills.github.io/2024-04-15-ds-intermediate-python/,
2024-04-22-ds-sklearn,https://esciencecenter-digital-skills.github.io/2024-04-22-ds-sklearn/,
2024-05-13-ds-geospatial,https://esciencecenter-digital-skills.github.io/2024-05-13-ds-geospatial/,
2024-05-28-ds-git,https://esciencecenter-digital-skills.github.io/2024-05-28-ds-git/,
2024-06-03-dc-socsci-python-odissei,https://esciencecenter-digital-skills.github.io/2024-06-03-dc-socsci-odissei/,
2024-06-10-ds-gpu,https://esciencecenter-digital-skills.github.io/2024-06-10-ds-gpu/,
2024-06-18-ds-sklearn-odissei,https://esciencecenter-digital-skills.github.io/2024-06-18-ds-sklearn-odissei/,
2024-05-13-ds-intermediate-python-UvA,https://esciencecenter-digital-skills.github.io/2024-05-13-ds-intermediate-python-UvA/,
2024-06-13-ds-git-WUR,https://esciencecenter-digital-skills.github.io/2024-06-13-ds-git-WUR/,
